user_id,name,email,signup_date
1,Customer 1,customer1@example.com,2021/09/05
2,Customer 2,customer2@example.com,2022/01/20
3,Customer 3,customer3@example.com,2022/01/23
4,Customer 4,customer4@example.com,2021/12/24
5,Customer 5,customer5@example.com,2021/10/13
6,Customer 6,customer6@example.com,2021/09/04
7,Customer 7,customer7@example.com,2021/10/20
8,Customer 8,customer8@example.com,2022/02/14
9,Customer 9,customer9@example.com,2021/10/06
10,Customer 10,customer10@example.com,2021/11/13
11,Customer 11,customer11@example.com,2021/12/16
12,Customer 12,customer12@example.com,2022/01/04
13,Customer 13,customer13@example.com,2021/11/29
14,Customer 14,customer14@example.com,2021/12/22
15,Customer 15,customer15@example.com,2021/10/23
16,Customer 16,customer16@example.com,2022/02/08
17,Customer 17,customer17@example.com,2022/01/31
18,Customer 18,customer18@example.com,2021/10/29
19,Customer 19,customer19@example.com,2021/09/19
20,Customer 20,customer20@example.com,2022/02/18
21,Customer 21,customer21@example.com,2021/12/15
22,Customer 22,customer22@example.com,2021/10/31
23,Customer 23,customer23@example.com,2021/10/22
24,Customer 24,customer24@example.com,2022/01/01
25,Customer 25,customer25@example.com,2022/01/12
26,Customer 26,customer26@example.com,2021/09/03
27,Customer 27,customer27@example.com,2021/10/23
28,Customer 28,customer28@example.com,2021/12/27
29,Customer 29,customer29@example.com,2021/10/23
30,Customer 30,customer30@example.com,2021/12/08
31,Customer 31,customer31@example.com,2021/10/09
32,Customer 32,customer32@example.com,2022/02/10
33,Customer 33,customer33@example.com,2022/01/06
34,Customer 34,customer34@example.com,2021/12/31
35,Customer 35,customer35@example.com,2022/02/21
36,Customer 36,customer36@example.com,2021/11/14
37,Customer 37,customer37@example.com,2021/11/26
38,Customer 38,customer38@example.com,2021/09/28
39,Customer 39,customer39@example.com,2021/11/17
40,Customer 40,customer40@example.com,2022/02/09
41,Customer 41,customer41@example.com,2022/01/23
42,Customer 42,customer42@example.com,2022/01/22
43,Customer 43,customer43@example.com,2021/12/10
44,Customer 44,customer44@example.com,2021/12/20
45,Customer 45,customer45@example.com,2021/12/05
46,Customer 46,customer46@example.com,2021/09/10
47,Customer 47,customer47@example.com,2022/01/14
48,Customer 48,customer48@example.com,2021/11/19
49,Customer 49,customer49@example.com,2021/12/12
50,Customer 50,customer50@example.com,2021/10/01
51,Customer 51,customer51@example.com,2021/11/20
52,Customer 52,customer52@example.com,2021/10/20
53,Customer 53,customer53@example.com,2021/10/28
54,Customer 54,customer54@example.com,2022/02/25
55,Customer 55,customer55@example.com,2021/11/25
56,Customer 56,customer56@example.com,2021/11/27
